priority,id,experiment_id,reproductionLevel,status,runtime_seconds,skipped_reason,notes,resultFiles,absolute_log_error,accuracy_gain,alternating_iterations,dice,direct_accuracy,direct_dice,estimated_log_evidence,gamma_alpha_toy,gradient_threshold_quantile,initial_accuracy,iou,iterations,joint_toy_accuracy,lambda_final,lambda_initial,live_points,map_psnr,map_runtime_seconds,map_snr,mcmc_runtime_seconds,mean_interval_length,offline_psnr,offline_snr,online_psnr,online_snr,pcms_like_energy,peak_stored_measurements_offline,peak_stored_measurements_online,raw_kmeans_accuracy,reference_log_evidence,rgb_lab_accuracy,rgb_only_accuracy,rof_threshold_dice,sat_accuracy,smoothed_accuracy,threshold_iterations,trof_accuracy
1,sat-overview,sat_rof_trof,toy-to-partial,completed,0.529,,Gaussian smoothing is used as a lightweight proxy for convex ROF/TV smoothing on a synthetic toy image.,assets/repro/sat_demo.png,,0.321,,,0.659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9799,,,
2,pcms-rof-linkage,sat_rof_trof,toy-to-partial,completed,0.529,,"This synthetic toy demonstrates thresholding after proxy smoothing, but does not solve the exact ROF model or prove Theorem 3.6.",assets/repro/sat_demo.png,,,,,,0.8989,,,,,,,,,,,,,,,,,,,,204.0,,,,,,,0.996,,,,
3,iterated-rof,sat_rof_trof,toy-to-partial,completed,0.529,,This synthetic toy implements the threshold update tau_i = 1/2(m_{i-1}+m_i) after proxy smoothing; strict T-ROF should solve ROF once.,assets/repro/sat_demo.png;assets/repro/trof_thresholds.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.659,,,,,,,3,0.9799
4,segmentation-restoration,segmentation_restoration,toy,completed,0.2356,,"Toy alternating restoration-segmentation over g, class means and labels; not full variational AM proof reproduction.",assets/repro/segmentation_restoration_toy.png,,0.4272,8,,0.5332,,,,,,,,0.9604,,,,,,,,,,,,,,,,,,,,,,,,
5,framelet-tubular,tubular_tight_frame,toy,completed,0.1355,,Approximate toy reproduction: Gaussian smoothing stands in for framelet smoothing inside uncertain boundary interval. Dice is measured on a simple synthetic 2D vessel toy; it does not represent real 2D/3D MRA paper-level performance.,assets/repro/tubular_lambda_shrinkage.png,,,,0.9981,,,,,,,0.9962,12,,2,651,,,,,,,,,,,,,,,,,,,,,,
6,tight-frame-vessel,tubular_tight_frame,toy,completed,0.1355,,Approximate toy reproduction: Lambda boundary set shrinkage and finite convergence pattern on synthetic 2D vessel network. Dice is measured on a simple synthetic 2D vessel toy; it does not represent real 2D/3D MRA paper-level performance.,assets/repro/tubular_lambda_shrinkage.png,,,,0.9981,,,,,,,0.9962,12,,2,651,,,,,,,,,,,,,,,,,,,,,,
7,slat-color,slat_color,partial,completed,0.1806,,"Toy SLaT: channel smoothing, RGB plus Lab-like luminance/chroma lifting, K-means on synthetic degraded color image. Current toy shows only a small metric gain; a better synthetic color case is needed to highlight Lab lifting.",assets/repro/slat_rgb_vs_rgblab.png,,0.0053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7145,0.7092,,,,,
8,sphere-wavelet,sphere_wavelet_toy,toy,completed,0.131,,Approximate sphere toy: equirectangular smoothing plus spherical-gradient correction; no S2LET/SSHT/SO3 stack.,assets/repro/sphere_wavelet_toy.png,,,,0.8418,,,,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,two-stage-classification,graph_classification,partial,completed,0.1197,,"Toy graph classification: centroid warm initialization, kNN graph smoothing, argmax projection.",assets/repro/graph_classification_before_after.png,,0.0139,,,,,,,,0.8,,18,,,,,,,,,,,,,,,,,,,,,,,0.8139,,
10,efficient-variational-classification,graph_classification,partial,completed,0.1197,,Toy repeated graph smoothing: demonstrates independent label-function update idea without full graph TV primal-dual solver.,assets/repro/graph_classification_before_after.png,,0.0139,,,,,,,,0.8,,18,,,,,,,,,,,,,,,,,,,,,,,0.8139,,
